TSNE1,TSNE2,target
-38.777,-30.429148,0
-15.336499,-2.7883544,1
5.937756,-14.502025,2
28.00608,2.9412334,3
-36.394794,2.6174462,4
38.46438,13.010029,5
0.5768961,-35.11029,6
-13.779631,33.003895,7
7.8398843,-2.761699,8
37.438007,13.412567,9
-34.75454,-24.35827,0
-21.003057,2.025633,1
24.235405,-23.765345,2
20.024023,13.237323,3
-37.685013,7.850207,4
4.6828265,38.121975,5
5.295628,-42.24102,6
-21.688515,32.921265,7
-2.0334482,-0.6112223,8
42.417248,11.086622,9
-26.8997,-29.375433,0
-19.302774,2.8354392,1
25.39,-23.539223,2
22.588419,13.574928,3
-34.709557,2.4336405,4
7.7488623,30.2188,5
-0.6979034,-35.389835,6
-26.017414,29.114498,7
0.19938104,-3.4470773,8
42.30328,11.194516,9
-41.76964,-29.93953,0
42.484756,11.06963,9
15.050553,36.222862,5
5.0472956,38.67389,5
3.2830558,-37.661884,6
6.492163,34.784187,5
-28.08396,-25.183725,0
39.7188,6.301847,9
-0.5441407,2.062418,8
39.939655,22.067406,9
0.20554592,-1.278074,8
-38.760433,7.826503,4
-20.717838,1.2347192,1
-23.739082,32.48084,7
-14.1257715,36.735332,7
23.272484,7.941244,3
6.645715,34.120564,5
-18.436085,1.063939,1
-33.083187,-30.973124,0
-29.702576,-33.682953,0
6.8561707,-14.913376,2
4.9822564,-14.89808,2
-25.007233,29.687353,7
1.1161336,-3.8484018,8
4.6497073,-14.791002,2
-27.128117,-28.800098,0
-19.170343,1.8099645,1
5.844785,-14.6163025,2
-1.2127129,-36.265297,6
20.554174,9.201156,3
22.846045,7.919419,3
-22.370062,33.047215,7
22.524775,8.386509,3
18.92047,13.30407,3
-37.715847,4.5860457,4
0.5093997,-38.33143,6
7.896421,-44.519035,6
-0.95910966,-51.957455,6
-39.802254,12.074114,4
-1.6321304,13.229244,9
-17.6773,0.7614234,1
15.456687,36.847305,5
-27.379637,-30.507868,0
39.146385,12.507735,9
11.254852,25.767666,5
4.981881,-15.149704,2
2.448378,-0.16699226,8
4.23299,-15.106274,2
-31.051598,-35.44517,0
-33.17803,-36.31423,0
-19.466331,1.8845575,1
-16.97013,35.67804,7
0.47478476,-35.790493,6
18.297535,12.687939,3
29.303326,-19.095093,2
