,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
PC1,1.0,3.106253075475565e-17,1.0313730914664954e-17,3.1062530754755576e-17,-5.824224516516651e-18,1.5531265377377813e-17,-4.068804763963683e-17,3.494534709910027e-17,-3.882816344344673e-18,-2.1446493401965044e-17
PC2,-3.1062530754755657e-17,0.9999999999999996,-2.991374953528123e-16,-8.93043907488622e-17,-2.5374836502324184e-17,7.789919131069357e-18,-5.011422386656482e-17,-1.8764105076988647e-16,5.516877823470222e-17,-1.5606342616448535e-16
PC3,-1.0313730914664962e-17,1.9529774088506306e-16,0.9999999999999999,-6.58804528598158e-16,-1.1458458329424636e-15,-5.626849171026369e-16,-2.1942335846582362e-16,-1.5549189933243868e-17,-3.42128187713969e-17,3.120940402425097e-17
PC4,-3.106253075475565e-17,1.0173536061003496e-16,7.622861738145119e-17,0.9999999999999994,9.478985175037468e-16,1.435134828587131e-15,-6.007080292866408e-16,4.4176148949652736e-16,-3.524433992762903e-16,3.058210531775516e-17
PC5,5.824224516516685e-18,-2.254482706633517e-17,1.4571863227383046e-15,-9.16292546548895e-16,1.0000000000000002,-1.5055119378625563e-15,3.803964602424245e-17,-1.7477062350736965e-16,-1.1129233805432408e-16,-5.721213596535066e-16
PC6,-1.5531265377377825e-17,-1.4342134900438491e-16,4.891424124446955e-16,-1.6713172942199333e-15,1.7385626727389658e-15,1.0,-1.2995547368059613e-15,1.6536959351700585e-16,-9.382233452924684e-17,-5.19003777941979e-16
PC7,4.0688047639636905e-17,2.4314189193238716e-16,1.233953161348099e-16,6.0258982673356e-16,6.307905146669513e-17,1.2497832452397995e-15,0.9999999999999997,-2.825311381793949e-15,2.1896522837305693e-15,8.302048557059591e-16
PC8,-3.4945347099100104e-17,1.1566276815297304e-16,-9.915814211127993e-17,-2.8807174909857505e-16,9.94842088036362e-17,-1.360714231047225e-16,2.915645667599644e-15,0.9999999999999999,2.729531266078855e-16,1.4764456919335728e-15
PC9,3.882816344344456e-18,-3.3533601787976056e-17,4.164576536863441e-17,3.675223427516559e-16,2.102427840096366e-16,1.4500143643427155e-16,-2.1661742273012046e-15,-2.0787585207302494e-16,1.0,-5.804738066831162e-15
PC10,2.1446493401965087e-17,1.4233540142853318e-16,1.2864053767261498e-17,-5.903537715628426e-17,4.997944058684421e-16,8.581819144261086e-16,-6.059871735108128e-16,-1.4238808755579217e-15,5.840467780264677e-15,1.0000000000000002
