TSNE1,TSNE2,target
-43.93394,-36.38172,0
-18.16618,-2.7292438,1
5.112404,-17.671968,2
28.663795,5.1103954,3
-41.376953,4.408359,4
42.405552,13.540843,5
0.022567593,-40.242878,6
-12.746357,37.16908,7
7.6436777,-4.850455,8
42.501328,15.511162,9
-39.337696,-30.006224,0
-24.012487,2.8308773,1
27.739323,-27.29259,2
19.8345,14.550243,3
-42.181644,10.148301,4
8.981598,43.786808,5
5.8615227,-47.19148,6
-22.267275,36.079224,7
-1.5155132,-0.6180738,8
44.98325,10.690841,9
-30.974083,-35.800663,0
-22.132448,3.5459094,1
29.008226,-27.05995,2
22.800877,14.621915,3
-39.55391,4.05174,4
11.4915085,35.188026,5
-1.31761,-40.69911,6
-27.209694,32.570904,7
-0.6124382,-4.770079,8
44.918316,10.860247,9
-47.112583,-36.02002,0
45.025204,10.636523,9
19.805939,40.713936,5
9.420435,44.383415,5
3.1287425,-42.633038,6
10.669378,40.034462,5
-32.238934,-31.187656,0
41.081017,6.317121,9
-2.7417834,1.0966213,8
43.003635,23.27177,9
-0.40223336,-2.3123503,8
-43.364674,10.2570095,4
-23.760769,1.9333733,1
-24.508799,35.818687,7
-13.663395,39.539623,7
23.488207,9.138783,3
10.803114,39.33249,5
-21.357298,1.5480584,1
-37.80985,-37.15142,0
-34.328808,-40.276127,0
6.1321793,-18.047787,2
4.037581,-18.012768,2
-26.054478,33.036137,7
0.17608161,-5.7765737,8
3.6722445,-17.862188,2
-31.263668,-35.13653,0
-22.031168,2.3909366,1
5.014844,-17.795034,2
-1.8055925,-41.683052,6
20.254248,9.833904,3
22.99327,9.0858,3
-22.995407,36.317894,7
22.663956,9.607572,3
18.68817,14.741958,3
-42.492306,6.663052,4
0.2566586,-43.710762,6
8.957709,-49.290653,6
0.7879083,-58.555206,6
-43.954742,14.938356,4
-1.76659,11.005215,9
-20.54744,1.1343812,1
20.254164,41.41299,5
-31.611176,-36.967876,0
42.67631,12.734214,9
14.944665,30.09786,5
4.0602584,-18.364304,2
1.9579833,-2.3903017,8
3.1906128,-18.21366,2
-35.730503,-42.09032,0
-38.04379,-42.929886,0
-22.379374,2.5744092,1
-16.924198,38.62185,7
-0.040856495,-41.02778,6
17.91826,14.155936,3
32.982895,-22.078098,2
-22.621847,0.73581797,1
-27.615763,32.045086,7
-13.896286,0.14377142,4
1.131987,-42.02043,6
22.2142,10.0555725,3
-23.797447,1.9192396,1
17.864824,16.23777,3
37.116894,20.314259,9
-18.237602,-2.5190256,1
-20.376945,36.028965,7
-0.8341802,-38.383793,6
-3.8428543,-0.80603576,8
-40.27568,3.8866022,4
18.529354,14.920403,3
-11.771131,-13.510207,1
-40.36686,4.1264873,4
-30.859604,-38.41154,0
14.667026,32.549248,5
14.724608,16.324528,3
-1.5176152,-38.85318,6
45.92665,13.663123,9
1.9878205,-39.916996,6
-25.036703,3.2296193,1
-24.038889,35.951527,7
12.335909,35.157097,5
-45.970726,15.775794,4
-44.611843,14.469858,4
-19.786615,36.827747,7
21.950155,-19.21733,2
1.5696799,-4.688351,8
6.062448,-18.10933,2
6.459139,-18.151985,2
8.726906,41.542683,5
-23.00316,33.88188,7
47.12105,14.417663,9
14.767496,29.86818,5
-43.124622,14.173273,4
-1.766123,-3.5728498,8
3.0139499,-8.22449,8
-43.655327,10.362767,4
37.489803,14.354737,9
-31.818745,-36.524933,0
-3.8161163,0.6063048,8
33.103413,25.188995,9
-9.329985,-12.137901,8
-37.14455,-35.464275,0
-23.59265,7.4215174,1
36.138004,-19.230522,2
16.928102,15.545186,3
-36.17039,0.48730856,4
7.535357,42.611397,5
-4.8538465,-52.217617,6
-21.439966,38.581463,7
5.438959,-6.34765,8
44.820095,14.56707,9
-33.019768,-32.60352,0
-25.082045,4.7354875,1
25.288904,-18.536674,2
19.735073,15.996597,3
-37.622726,-1.4592371,4
9.5681925,43.06525,5
2.6149075,-46.390232,6
-21.847588,38.700043,7
5.1788197,-4.181178,8
41.48508,14.292479,9
-32.64315,-40.031437,0
-25.33292,5.773409,1
24.517561,-21.74605,2
16.883476,14.637553,3
-38.681923,-0.1627206,4
5.1473575,41.563084,5
0.8819466,-42.455433,6
-22.704437,42.431786,7
